42.747,1.603,1.579,42.8061778134886
42.74,1.584,1.5,42.7956382824231
42.74,1.569,1.453,42.7934641037624
42.744,1.534,1.429,42.7953821457409
42.744,1.493,1.398,42.7929081624514
42.743,1.462,1.387,42.7904809741606
42.747,1.417,1.359,42.7920644395664
42.747,1.387,1.328,42.7901082260842
42.744,1.348,1.292,42.7847625212528
42.751,1.321,1.202,42.7882909918122
42.794,1.306,1.084,42.827644436742
42.829,1.538,1.552,42.8846987747378
42.79,1.542,1.493,42.8437966688294
42.774,1.531,1.454,42.8260802899355
42.762,1.508,1.426,42.812336820127
42.759,1.489,1.386,42.807361493089
42.759,1.459,1.371,42.8058454302681
42.766,1.424,1.336,42.8105527644762
42.778,1.398,1.309,42.8208496996498
42.794,1.371,1.277,42.8349951091394
42.825,1.36,1.218,42.8638979678704
42.898,1.364,1.163,42.9354337232082
42.875,1.504,1.489,42.9272030535417
42.832,1.512,1.458,42.8834715479053
42.809,1.512,1.426,42.8594225462733
42.793,1.489,1.403,42.8418764645061
42.789,1.47,1.364,42.8359652278316
42.789,1.455,1.352,42.8350726624807
42.793,1.424,1.324,42.8371521112223
42.805,1.402,1.296,42.8475582151422
42.829,1.387,1.281,42.8705956455004
42.863,1.371,1.242,42.9029016967384
42.929,1.364,1.234,42.9683871351951
42.898,1.485,1.415,42.9470121661566
42.863,1.496,1.403,42.912040198527
42.836,1.5,1.379,42.8844323385538
42.813,1.477,1.36,42.8600524731363
42.805,1.462,1.332,42.850667357697
42.805,1.451,1.32,42.8499221236165
42.816,1.432,1.298,42.8595996714855
42.828,1.409,1.278,42.8702245037275
42.855,1.394,1.27,42.8964702627151
42.882,1.375,1.243,42.9220409346993
42.925,1.36,1.242,42.9644945158208
42.917,1.47,1.344,42.9631950045618
42.879,1.489,1.336,42.9256410319054
42.848,1.489,1.321,42.8942101687396
42.828,1.477,1.314,42.8736015398753
42.82,1.466,1.289,42.8644733666471
42.824,1.447,1.286,42.867733565002
42.828,1.424,1.266,42.8703640758975
42.844,1.413,1.258,42.885749019925
42.859,1.394,1.25,42.8998789858433
42.894,1.379,1.227,42.9336977908961
42.941,1.364,1.214,42.9798065723893
42.933,1.462,1.289,42.9772201753441
42.883,1.481,1.281,42.9276835037718
42.855,1.485,1.281,42.899850943797
42.835,1.47,1.282,42.8793848953084
42.832,1.458,1.266,42.8755028425324
42.832,1.443,1.27,42.8751136791496
42.836,1.424,1.262,42.8782382567195
42.852,1.409,1.254,42.8934925250906
42.875,1.398,1.262,42.9163450564001
42.91,1.387,1.238,42.9502562623321
42.968,1.383,1.231,43.0078722328831
42.933,1.474,1.163,42.9740355796381
42.878,1.496,1.184,42.9204235300632
42.848,1.5,1.206,42.891205858544
42.832,1.481,1.219,42.8749291078131
42.828,1.466,1.211,42.8701908206623
42.828,1.451,1.219,42.8699072310636
42.836,1.428,1.215,42.8770137136438
42.848,1.413,1.222,42.8887043054462
42.863,1.402,1.238,42.9037879096939
42.898,1.398,1.242,42.9387397579389
42.976,1.417,1.269,43.0180755729496
42.882,1.542,1.05,42.922560361656
42.848,1.557,1.116,42.8908009834277
42.828,1.549,1.152,42.8714834009741
42.821,1.519,1.171,42.8639317258695
42.82,1.493,1.172,42.8620465330343
42.824,1.47,1.184,42.8655774719063
42.832,1.447,1.18,42.8726769982934
42.836,1.424,1.188,42.8761240785592
42.844,1.406,1.214,42.8842508154217
42.863,1.394,1.247,42.903787874732
42.906,1.405,1.336,42.9497818038695
42.766,1.663,1.03,42.8107139043488
42.789,1.644,1.121,42.835241308997
42.804,1.61,1.156,42.8498640837985
42.813,1.557,1.164,42.8571127585609
42.817,1.534,1.16,42.860170846603
42.82,1.5,1.168,42.8621817456835
42.824,1.474,1.156,42.8649505773656
42.824,1.44,1.152,42.8636871955738
42.816,1.402,1.168,42.8548676815131
42.793,1.36,1.195,42.831279154375
42.762,1.325,1.321,42.8029124009103
42.634,1.789,1.183,42.6879135821839
42.75,1.717,1.219,42.8018288160681
42.8,1.655,1.212,42.8491303178956
42.821,1.602,1.187,42.8673933660539
